date,ticker,momentum_6m,momentum_12m,rank_6m,rank_12m,composite_score,final_rank,weight
2018-04-30,CSCO,0.3125,0.344,0.9184,0.6531,0.8388,7,0.0667
2018-04-30,INTC,0.2643,0.4678,0.8571,0.7959,0.8388,7,0.0667
2018-04-30,INTU,0.2269,0.4907,0.8367,0.8367,0.8367,9,0.0667
2018-04-30,NVDA,0.1508,1.1633,0.7143,1.0,0.8,10,0.0667
2018-04-30,ISRG,0.1837,0.582,0.7551,0.8776,0.7918,11,0.0667
2018-04-30,MSFT,0.199,0.3947,0.7959,0.6735,0.7592,12,0.0667
2018-04-30,MAR,0.1561,0.4643,0.7347,0.7755,0.7469,13,0.0667
2018-04-30,MU,0.1325,0.6617,0.6531,0.9184,0.7327,14,0.0667
2018-04-30,COST,0.2204,0.1692,0.8163,0.449,0.7061,15,0.0667
2018-05-31,NFLX,0.7652,1.1561,1.0,1.0,1.0,1,0.0667
2018-05-31,PANW,0.3956,0.7547,0.9592,0.9388,0.9531,2,0.0667
2018-05-31,FTNT,0.4511,0.5552,0.9796,0.8367,0.9367,3,0.0667
2018-05-31,ADBE,0.3446,0.7572,0.9184,0.9592,0.9306,4,0.0667
2018-05-31,AMZN,0.3653,0.6384,0.9388,0.898,0.9265,5,0.0667
2018-05-31,INTC,0.2496,0.5688,0.8571,0.8571,0.8571,6,0.0667
2018-05-31,INTU,0.3002,0.4479,0.898,0.7551,0.8551,7,0.0667
2018-05-31,MU,0.2015,0.8716,0.7959,0.9796,0.851,8,0.0667
2018-05-31,NVDA,0.1983,0.752,0.7551,0.9184,0.8041,9,0.0667
2018-05-31,CTAS,0.1988,0.4637,0.7755,0.7755,0.7755,10,0.0667
2018-05-31,CSX,0.2542,0.2119,0.8776,0.5306,0.7735,11,0.0667
2018-05-31,AMD,0.2292,0.227,0.8367,0.551,0.751,12,0.0667
2018-05-31,ADP,0.1819,0.2982,0.7347,0.6735,0.7163,13,0.0667
2018-05-31,MSFT,0.175,0.4429,0.6939,0.7347,0.7061,14,0.0667
2018-05-31,ISRG,0.1428,0.5076,0.6327,0.8163,0.6878,15,0.0667
2018-06-29,NFLX,1.0312,1.608,1.0,1.0,1.0,1,0.0667
2018-06-29,AMZN,0.4331,0.7417,0.9796,0.9796,0.9796,2,0.0667
2018-06-29,FTNT,0.4185,0.6542,0.9388,0.9184,0.9327,3,0.0667
2018-06-29,ADBE,0.3888,0.7262,0.898,0.9592,0.9163,4,0.0667
2018-06-29,PANW,0.399,0.5254,0.9184,0.7959,0.8816,5,0.0667
2018-06-29,MU,0.2542,0.6663,0.8367,0.9388,0.8673,6,0.0667
2018-06-29,ISRG,0.2972,0.5427,0.8776,0.8367,0.8653,7,0.0667
2018-06-29,INTU,0.2944,0.5505,0.8571,0.8571,0.8571,8,0.0667
2018-06-29,NVDA,0.2016,0.6196,0.7959,0.898,0.8265,9,0.0667
2018-06-29,AMD,0.4209,0.1897,0.9592,0.3878,0.7878,10,0.0667
