date,ticker,momentum_6m,momentum_12m,volatility,rank_6m,rank_12m,rank_low_vol,composite_score,final_rank,weight
2018-11-30,MSFT,0.0996,0.3403,0.0204,0.6122,0.8571,0.5918,0.6816,15,0.0667
2018-12-31,ORLY,0.2587,0.4207,0.0196,0.9796,0.9592,0.7959,0.9367,1,0.0667
2018-12-31,SBUX,0.3346,0.1398,0.0187,1.0,0.6939,0.8776,0.8837,2,0.0667
2018-12-31,AMGN,0.0692,0.1435,0.0185,0.898,0.7347,0.898,0.849,3,0.0667
2018-12-31,FTNT,0.1281,0.6003,0.0323,0.9388,0.9796,0.2041,0.8041,4,0.0667
2018-12-31,AMD,0.2315,0.7498,0.0544,0.9592,1.0,0.0204,0.7837,5,0.0667
2018-12-31,TMUS,0.0646,-0.0115,0.0173,0.8571,0.4898,0.9388,0.7633,6,0.0667
2018-12-31,MSFT,0.0384,0.2054,0.0244,0.8163,0.7959,0.5102,0.749,7,0.0667
2018-12-31,CSCO,0.0217,0.157,0.0219,0.7551,0.7755,0.6531,0.7408,8,0.0667
2018-12-31,ADP,-0.0123,0.1414,0.0195,0.6531,0.7143,0.8367,0.7082,9,0.0667
2018-12-31,PEP,0.0313,-0.0436,0.0139,0.7755,0.3878,0.9796,0.7,10,0.0667
2018-12-31,REGN,0.0826,-0.0243,0.024,0.9184,0.4082,0.5714,0.6959,11,0.0667
2018-12-31,AVGO,0.067,0.0222,0.0253,0.8776,0.5306,0.4694,0.6918,12,0.0667
2018-12-31,ISRG,0.0009,0.2983,0.029,0.6939,0.9184,0.2857,0.6796,13,0.0667
2018-12-31,CSX,-0.02,0.1449,0.0201,0.5918,0.7551,0.7551,0.6735,14,0.0667
2018-12-31,CMCSA,0.0553,-0.1323,0.0182,0.8367,0.2041,0.9184,0.6633,15,0.0667
2019-01-31,SBUX,0.3167,0.2191,0.0191,0.9796,0.8367,0.7551,0.8918,1,0.0667
2019-01-31,ORLY,0.1263,0.2848,0.0178,0.8367,0.9184,0.898,0.8735,2,0.0667
2019-01-31,AMD,0.3317,0.8967,0.0559,1.0,1.0,0.0204,0.8041,3,0.0667
2019-01-31,TMUS,0.1603,0.075,0.0165,0.898,0.551,0.9388,0.802,4,0.0667
2019-01-31,FTNT,0.2171,0.674,0.0317,0.9388,0.9796,0.1837,0.8,5,0.0667
2019-01-31,PANW,0.0835,0.3911,0.0229,0.7755,0.9592,0.5102,0.7776,6,0.0667
2019-01-31,AVGO,0.2315,0.1654,0.026,0.9592,0.7347,0.3673,0.7735,7,0.0667
2019-01-31,CSCO,0.1345,0.1536,0.0207,0.8571,0.7143,0.6531,0.7735,7,0.0667
2019-01-31,REGN,0.1665,0.1303,0.0213,0.9184,0.6327,0.6122,0.7714,9,0.0667
2019-01-31,ADSK,0.1461,0.2798,0.0304,0.8776,0.898,0.2245,0.7531,10,0.0667
2019-01-31,INTU,0.0614,0.292,0.0222,0.6939,0.9388,0.551,0.7388,11,0.0667
2019-01-31,ADP,0.0467,0.182,0.0187,0.6735,0.7755,0.7959,0.7286,12,0.0667
2019-01-31,MDLZ,0.0798,0.0679,0.014,0.7347,0.5306,0.9592,0.7184,13,0.0667
2019-01-31,VRTX,0.0906,0.1463,0.0234,0.8163,0.6939,0.4898,0.7143,14,0.0667
2019-01-31,CDNS,0.0894,0.0921,0.0203,0.7959,0.5714,0.6939,0.7082,15,0.0667
2019-02-28,SBUX,0.3405,0.2705,0.0141,1.0,0.7755,0.9388,0.9204,1,0.0667
